Project Name,Amount Raised ($),Backers,Goal ($),Funded Date,Last Update,Category,Combined Description,PD_Issue,Kickstarter URL,Source 1,Source 2
Kanoa Wireless Earbuds," $ 1,500,000 ","10,000"," $ 100,000 ",2015-12-01,2017-08-26,Technology/Audio,"Indiegogo campaign (page removed/pending review). Truly wireless earbuds raised $1.5M. Manufacturer only planned to make ~24 units. Offered YouTuber $500 bribe for positive review - he exposed them instead, calling them ""trash"". Company shut down 4 days after devastating review went viral.

Product Development Failure Reason: Bluetooth audio sync between left/right earbuds failed consistently. Battery life far below claims due to sync overhead. Manufacturing yields too low for sustainable production. Shipped units had major connectivity issues.","SYSTEM-INTEGRATION, POWER-SYSTEM, SCALE-UP",,https://fortune.com/2017/08/27/headphone-startup-kanoa-youtube-review/ ,https://siliconangle.com/2017/08/27/crowdfunded-earbud-startup-kanoa-shuts-without-delivering-product-customers/ 
dragonfly futurefon," $ 1,373,225 ","7,983"," $ 100,000 ",2015-12-19,2019-08-13,Technology/Phones,"Indiegogo campaign. 3-in-1 phone/tablet/laptop raised $1.3M across two campaigns. Creator Jeffrey Batio ran a decade-long fraud. FBI investigation led to conviction on 12 counts. Sentenced to 8 years prison, ordered to pay $5.77M restitution.

Product Development Failure Reason: Sliding/folding mechanism couldn't survive durability testing. Dual-screen hinge mechanism failed at scale. Component integration for phone+tablet hybrid proved too complex. Display connector reliability issues.","SYSTEM-INTEGRATION, MANUFACTURABILITY",https://www.indiegogo.com/projects/the-dragonfly-futurefon--3 ,https://www.justice.gov/usao-ndil/pr/silicon-valley-computer-executive-convicted-defrauding-investors-after-soliciting-money ,
MoonWalker Shoes (20:16)," $ 254,000 ","2,206"," $ 20,000 ",2016-02-12,2016-09-01,Fashion/Footwear,"Raised $254K on Indiegogo (1,270% of goal) for ""gravity-defying"" shoes using N45 magnets to simulate moonwalk feeling. Promised August 2016 delivery. Posted September 2016 update citing manufacturing issues, promised April 2017. Then went completely silent. MoonShine Crea disappeared. No products delivered, no refunds.

Product Development Failure Reason: Magnetic repulsion force insufficient for meaningful 'low gravity' sensation. N45 neodymium magnets in claimed configuration can't produce forces proportional to body weight. V2 stretch goal promised e-ink screen powered by electromagnetic field - physically impossible. Manufacturing partner issues cited. Never delivered to backers.","MANUFACTURABILITY, PHYSICS-IMPOSSIBLE",https://www.indiegogo.com/projects/20-16-moonwalker-the-shoes-that-defy-gravity ,https://www.ibtimes.co.uk/indiegogo-users-cry-foul-scam-campaign-that-disappeared-250000-1593260 ,
OSSIC X," $ 2,708,472 ","10,263"," $ 100,000 ",2016-03-21,2018-05-19,Technology/Sound,"Ran out of money after failing to secure Series A funding. Only 250 of 10,000+ units delivered before company shut down in May 2018. Filed Chapter 7 bankruptcy. VR market slowdown made investors unwilling to fund production.

Product Development Failure Reason: 8 drivers + 6 mics + 32-core processor made unit too expensive to manufacture. Five design iterations burned through capital. Stretch goals (iOS Lightning certification) overwhelmed R&D. Final design 'much more expensive than original concept.' Failed at manufacturing ramp.","UNIT-ECONOMICS, SYSTEM-INTEGRATION, SCALE-UP",https://www.kickstarter.com/projects/248983394/ossic-x-the-first-3d-audio-headphones-calibrated-t ,https://www.washingtonpost.com/news/the-switch/wp/2018/05/22/10200-people-gave-this-kickstarter-startup-for-3d-headphones-nearly-3-million-they-have-nothing-to-show-for-it/ ,https://www.npr.org/sections/thetwo-way/2018/05/21/613133398/crowdfunders-left-hanging-by-3d-headphone-startups-abrupt-closure
Triton Artificial Gills," $ 900,000 ","6,500"," $ 50,000 ",2016-04-01,2016-05-01,Sports/Diving,"Indiegogo campaign (page removed after refunds). Claimed to extract oxygen from water for 45-minute underwater breathing - physically impossible according to UC Berkeley chemistry professors. After backlash, changed story to ""liquid oxygen cylinders"" (also dangerous). Forced to refund $900K to backers.

Product Development Failure Reason: Claimed microporous hollow fiber could extract breathable oxygen from water. Scientists calculated device would need to filter 90 liters/minute - physically impossible at claimed size. Forced to refund $900K and pivot to 'liquid oxygen cylinders' after debunking.",PHYSICS-IMPOSSIBLE,https://web.archive.org/web/20160323032014/https://www.indiegogo.com/projects/triton-world-s-first-artificial-gills-re-breather#/ ,https://www.deeperblue.com/artificial-gills-scam-product-triton-comes-clean-refunds-supporters/ ,https://www.southernfriedscience.com/ocean-anti-kickstarter-of-the-month-triton-gills-is-almost-certainly-a-scam/
Fontus Self-Filling Water Bottle," $ 345,000 ","2,800"," $ 30,000 ",2016-04-15,2018-01-01,Technology/Outdoors,"Indiegogo campaign (page likely removed). Claimed to capture moisture from air using solar power. EEVBlog debunked with basic thermodynamics - solar panel was 2.5x too weak. At best would produce 1 liter in 60+ hours. Never shipped anything resembling advertised product.

Product Development Failure Reason: Claimed Peltier cooler could harvest 0.5L water/hour from humid air. Thermodynamically impossible - atmospheric water harvesting at that rate requires refrigeration unit, not small battery-powered device. Never demonstrated working prototype at scale.",PHYSICS-IMPOSSIBLE,https://www.indiegogo.com/projects/fontus-the-self-filling-water-bottles ,https://www.eevblog.com/2016/05/18/eevblog-881-fontus-self-filling-water-bottle-busted/ ,
ONO/OLO 3D Printer," $ 2,321,811 ","16,180"," $ 99,000 ",2016-04-20,2021-07-16,Technology/3D Printing,"Called ""biggest 3D printing scam"" - raised $2.3M for smartphone-powered resin 3D printer. Name changed from OLO to ONO. Only ~9 backers received printers by Aug 2018 despite 16,180 orders. Company declared failure July 2021 citing financial/legal reasons, opened to open-source but never released files.

Product Development Failure Reason: Claimed smartphone screen could cure resin - UV from phone screens insufficient for reliable curing. Required separate UV LED array. Print quality and reliability far below claims. Resolution and speed promises unachievable.","PHYSICS-IMPOSSIBLE, MANUFACTURABILITY",https://www.kickstarter.com/projects/olo3d/olo-the-first-ever-smartphone-3d-printer ,https://all3dp.com/ono-smartphone-3d-printer/,
iBackPack," $ 800,000 ","4,041"," $ 20,000 ",2016-05-19,2018-08-29,Design/Product Design,"FTC confirmed fraud - creator Doug Monahan spent $800K+ from multiple campaigns on personal expenses and Bitcoin instead of production. Permanently banned from crowdfunding in 2019. No products delivered.

Product Development Failure Reason: Claimed battery/charger issues, but specific battery technology (18650 cells) had no known problems. More likely couldn't integrate hotspot, charging, GPS tracking in backpack form factor at price point. Never demonstrated working unit.",BUSINESS-FAILURE,https://www.kickstarter.com/projects/ibackpack/ibackpack-20-3g-4g-mi-fi-bulletproof-bluetooth-aud ,https://www.ftc.gov/news-events/news/press-releases/2020/05/operator-deceptive-crowdfunding-scheme-banned-future-crowdfunding-part-ftc-settlement ,
Backzips Backpack," $ 168,000 ","1,495"," $ 10,000 ",2016-08-01,2016-11-16,Design/Product Design,Kevlar anti-theft backpack with USB ports and battery. Creators disappeared after raising $168K across Kickstarter and Indiegogo. Last communication Nov 2016. Backer found identical bag on AliExpress from Chinese manufacturer. Classic take-the-money-and-run scam.,BUSINESS-FAILURE,https://www.kickstarter.com/projects/106898073/hidden-zipper-waterproof-and-kevlar-reinforced-bac ,https://songoffall.medium.com/the-backzip-kickstarter-backpack-scam-was-but-a-step-in-a-career-of-scams-investigating-the-ac1cdb512429 ,
Superbook," $ 2,952,508 ","16,732"," $ 50,000 ",2016-08-20,2019-04-30,Technology/Hardware,"Ran out of money after shipping only 75% of orders. Component price increases, manufacturer problems, and alleged theft of $300K inventory by distributor King Oasis depleted funds. No refunds offered.

Product Development Failure Reason: Laptop dock for smartphone struggled with display driver integration. Latency issues between phone and display. Battery and power delivery problems. Firmware couldn't reliably handle phone-to-laptop OS bridging.","MANUFACTURABILITY, SYSTEM-INTEGRATION",https://www.kickstarter.com/projects/andromium/the-superbook-turn-your-smartphone-into-a-laptop-f ,https://www.androidpolice.com/2019/04/30/superbook-kickstarter-runs-out-of-money-after-shipping-75-of-phone-to-laptop-pre-orders/ ,
Toasteroid," $ 187,849 ","1,967"," $ 150,000 ",2016-09-23,2017-10-31,Technology/Hardware,"Connected to serial scam team (Nbition/Chiu brothers) behind Arist, ZNAPS, and Auxillite. None of these projects delivered products. Sketchfab profile linked to Nbition. No toasters shipped to backers despite reaching funding goal.

Product Development Failure Reason: Heating element design couldn't consistently burn images into toast. App connectivity unreliable. Thermal management for precise image burning proved difficult at consumer price point.","MANUFACTURABILITY, HEAT-MANAGEMENT",https://www.kickstarter.com/projects/258723592/toasteroid-first-app-controlled-smart-image-toaste ,https://dandesim.one/2017/03/15/nbition-kickstarter-scam-znaps ,
Sansaire Delta," $ 256,804 ","1,314"," $ 100,000 ",2016-09-29,2018-01-12,Food/Kitchen,"Company shut down after relationship with production facility broke down and exhausted funding. Third CEO in one year announced closure. Despite original Sansaire's $823K success, Delta backers received nothing.

Product Development Failure Reason: Compact heating element couldn't maintain precise temperature control. Plastic housing warped under sustained heat. Circulation pump failed reliability testing. Transitioned from clamp-on to standalone design mid-production.","MANUFACTURABILITY, HEAT-MANAGEMENT",https://www.kickstarter.com/projects/681827929/sansaire-delta-make-perfect-cooking-even-easier ,https://thespoon.tech/sansaire-announces-it-is-shutting-down/ ,
Digitsole Smartshoe," $ 114,747 ",509," $ 50,000 ",2017-07-05,2019-02-20,Technology/Wearables,"Auto-tightening, heating smart sneaker promised at $199 (60% off $599 retail). After 2 years of delays, company offered full refunds in February 2019 via email. No products delivered to Kickstarter backers despite 229% funding.

Product Development Failure Reason: Heating, fitness tracking, auto-lacing mechanisms couldn't coexist in shoe form factor. Battery insufficient for heating function. Water resistance compromised by electronics integration. Durability issues with flexible electronics in footwear.","POWER-SYSTEM, SYSTEM-INTEGRATION, MANUFACTURABILITY",https://www.kickstarter.com/projects/141658446/digitsole-smartshoe-the-worlds-first-intelligent-s ,https://www.backerkit.com/projects/141658446/digitsole-smartshoe-the-worlds-first-intelligent-s ,https://www.indiegogo.com/en/projects/malikissolah-16909734/digitsole-smartshoe-the-first-intelligent-sneaker/comments
Amabrush," $ 3,752,085 ","26,832"," $ 58,550 ",2017-08-20,2019-06-05,Design/Product Design,"Unable to find manufacturers who could produce at viable price. Shipped ~4,000 defective units before filing bankruptcy on June 5, 2019 with 4.5M EUR debt against 524K EUR assets.

Product Development Failure Reason: Silicone mouthpiece bristle attachment failed durability. Motor vibration pattern couldn't clean teeth effectively. Units shipped with insufficient power. Mouthpiece sizing didn't fit wide range of mouths as claimed.","MANUFACTURABILITY, SYSTEM-INTEGRATION, QUALITY-CONTROL",https://www.kickstarter.com/projects/amabrush/amabrush-worlds-first-automatic-toothbrush ,https://www.failory.com/blog/kickstarter-fails ,
SpeedX Unicorn," $ 636,000 ",200," $ 50,000 ",2017-09-15,2019-01-01,Design/Product Design,"Smart bike with integrated sensors and power meter. Despite raising over $636K, bikes were never delivered to backers. SpeedX appears to have abandoned the project entirely. Frequently cited as cautionary example in cycling crowdfunding failures.

Product Development Failure Reason: Integrated electronics (GPS, power meter) added complexity beyond traditional bike manufacturing. App connectivity issues plagued shipped units. Component costs exceeded crowdfunding price point. Struggled with bike+tech integration.","SYSTEM-INTEGRATION, UNIT-ECONOMICS",https://www.kickstarter.com/projects/speedx/speedx-unicorn-smart-road-bike-with-built-in-power/comments ,https://www.bikeradar.com/news/speedx-smart-bike,
Yomee Yogurt Maker," $ 136,808 ","1,002"," $ 28,000 ",2017-11-02,2023-06-05,Food/Kitchen,"Marketed as 'Keurig for yogurt' but failed to find manufacturer who could produce at viable price. Despite raising $930K+ across platforms, cooling system couldn't reach target temperatures. Officially announced failure in June 2023 - no acquisition, no products shipped to US backers.

Product Development Failure Reason: Temperature control for yogurt cultivation inconsistent. Pod/capsule system unreliable. Cleaning and food safety issues with design. Manufacturing costs exceeded price point.","MANUFACTURABILITY, HEAT-MANAGEMENT",https://www.kickstarter.com/projects/leckerlabs/yomee ,https://thespoon.tech/lecker-labs-raised-400000-pushed-yomee-yogurt-maker-to-2019/ ,
PicoBrew Pico C," $ 1,927,217 ","4,301"," $ 200,000 ",2017-12-01,2020-02-14,Food/Kitchen,"Company entered receivership February 2020 after losing $500K/month with $15.2M debt. All assets liquidated. Machines dependent on cloud servers became non-functional (Error #7). Recipe PicoPaks discontinued.

Product Development Failure Reason: Brewing system complexity exceeded manufacturing capability at price point. Keg and ingredient pod system logistics problematic. Quality control issues in production. Company filed bankruptcy - couldn't sustain production costs.","MANUFACTURABILITY, SCALE-UP, UNIT-ECONOMICS",https://www.kickstarter.com/projects/picobrew/pico-c-craft-brewing-for-all ,https://www.americancraftbeer.com/113312-2/ ,
Micro Drone 4.0," $ 1,500,000 ","9,000"," $ 75,000 ",2019-03-01,2021-09-01,Technology/Drones,"Raised $1.5M for ""production ready"" palm-sized drone. Promised June 2019 delivery. Specs repeatedly downgraded (flight time cut 50%, weight increased). CEO Vernon Kerswell accused of using misleading demo footage. Under Indiegogo investigation for ""signs of default."" No drones delivered to backers.

Product Development Failure Reason: Autonomous flight features (obstacle avoidance, tracking) didn't function as demonstrated. Camera stabilization inadequate. Software/firmware couldn't deliver promised autonomous capabilities in small form factor.",SYSTEM-INTEGRATION,https://www.indiegogo.com/en/projects/microdrone/micro-drone-3-0-flight-in-the-palm-of-your-hand/comments ,https://dronexl.co/2021/09/20/micro-drone-4-0/ ,
HEL: The Last Saga," $ 2,215,842 ","17,757"," $ 150,000 ",2020-05-26,2024-01-27,Games/Tabletop,"Originally expected June 2021, never completed after 4+ years. Mythic Games admitted project was 'excessively difficult, if not impossible' to complete. IP sold to CMON in January 2024, company liquidated October 2024.",,https://www.kickstarter.com/projects/1162110258/hel-the-last-saga ,https://boardgamewire.com/index.php/2024/01/27/mythic-games-fails-to-deliver-on-two-kickstarter-projects-worth-3-2m-sells-ip-to-cmon/ ,
Superstrata Bike," $ 7,173,712 ","4,559"," $ 100,000 ",2020-10-20,2023-07-26,Design/Product Design,"Indiegogo campaign for ""world's first 3D-printed custom unibody carbon fiber bike"". Promised 1.3kg frame delivered 3.145kg; promised 7.5kg total delivered 11.67kg+. Carbon wheels never produced. Arevo terminated Vietnam operations 2023. Many backers never received bikes; those who did reported poor quality, wrong components, safety issues. Demanded $350-$850 additional shipping after 2+ year delays.

Product Development Failure Reason: Promised 7.5kg frame weight, delivered 11kg+. Wrong brake rotors shipped (160mm vs 180mm specified). Vietnam manufacturing halted due to 'inability to produce carbon materials at competitive cost.' 3D printing production couldn't scale to demand.","SCALE-UP, QUALITY-CONTROL, UNIT-ECONOMICS",https://www.indiegogo.com/projects/superstrata-bike ,https://www.bikeradar.com/reviews/bikes/road-bikes/superstrata-classic-review ,
QStoves ElectriQ," $ 302,286 ",685," $ 10,000 ",2023-02-19,2024-03-05,Food/Kitchen,"One year after raising $302K (30x goal), website went offline. Creator posted on Facebook claiming to be broke. Unable to ship remaining units or issue refunds as money was spent shipping early orders.

Product Development Failure Reason: Pellet stove thermoelectric generation couldn't deliver claimed power output. Heat management issues. Safety certifications (UL) problematic. Integration of heating and electricity generation at consumer price point failed.","MANUFACTURABILITY, HEAT-MANAGEMENT, REGULATORY",https://www.kickstarter.com/projects/qubestove/qstoves-electriq12-the-versaitlle-12-electric-pizza-oven ,https://palapizza.com/guide/qstove-electriq-pizza-oven/ ,
SwitchLens," $ 857,132 ","2,033"," $ 10,000 ",2024-07-26,2024-12-09,Technology/Camera,"Apparent scam by Sneaki Design (China). Missed delivery promises (Nov 2024, then Feb/Mar 2025). No products delivered to any backers, creators went silent for 6+ months. BBB unable to locate business.",BUSINESS-FAILURE,https://www.kickstarter.com/projects/halohub/switchlens-power-up-your-smartphone-into-a-pro-camera ,https://www.bbb.org/us/ny/brooklyn/profile/crowdfunding/kickstarter-pbc-0121-137092/complaints ,